,שם המבצע,מטרת המבצע,Start Date,End Date
11,מבצע חשיפה מלאה,"מבצע של שייטת 13 ושייטת ספינות הטילים של חיל הים, במסגרתו נתפסה אוניית המשא קלוס סי, שניסתה להבריח מאיראן אמצעי לחימה שחלקם הוטסו ככל הנראה מסוריה ויועדו לארגוני הטרור הפלסטיניים בסיני או ברצועת עזה.",5.3.2014,5.3.2015
12,מבצע שובו אחים,"מבצע רחב היקף של צה""ל וכוחות הביטחון לחיפוש שלושת הנערים החטופים ובנוסף על מנת לפגוע בתשתיות חמאס ברחבי יהודה ושומרון.",12.6.2014,30.6.2014
13,מבצע צוק איתן,"מבצע רחב היקף של צה""ל, שהחל בעקבות ירי רקטי הולך וגובר מרצועת עזה לעבר אוכלוסייה אזרחית בדרום ישראל, כתגובה ל""מבצע שובו אחים"" של צה""ל לאחר חטיפת שלושת הנערים ורציחתם ב-12 ביוני.",8.7.2014,26.8.2014
14,מבצע בית הקלפים,סדרת תקיפות אוויריות של צהל על בסיסי משמרות המהפכה האסלאמית בסוריה.,8.5.2018,10.5.2018
15,מבצע מגן צפוני,"מבצע הנדסי של צה""ל בגבול לבנון לחיסול המנהור ההתקפי של החזבאללה.",4.10.2018,13.1.2019
16,מבצע גן סגור,"תקיפות נרחבות של חיל האוויר ברצועת עזה לאור ירי רקטות לעבר ישובי עוטף עזה, לכיש, באר שבע ודרום השפלה וירי צלפים לעבר חיילי צה""ל.",3.5.2019,3.5.2019
17,מבצע חגורה שחורה,הריגת בכיר הג'יהאד האסלאמי הפלסטיני בהאא אבו אל-עטא ותקיפות נרחבות של חיל האוויר ברצועת עזה לאור ירי רקטות מתגבר לעבר ישובי הדרום והמרכז.,12.11.2019,14.11.2019
18,מבצע שומר החומות,"מבצע רחב היקף של צה""ל, שהחל בעקבות ירי רקטות מאסיבי לעבר ירושלים ועוטף עזה, והפרות סדר בירושלים ברמדאן.",10.5.2021,21.5.2021
19,מבצע שובר גלים,"מבצע צבאי של צה""ל שהחל לאחר גל פיגועים קטלניים שביצעו מחבלים פלסטינים ומחבלים ערבים המתגוררים בישראל בשטחי מדינת ישראל.",31.3.2022,4.4.2022
20,מבצע עלות השחר,"מבצע של צה""ל שבמהלכו תקף חיל האוויר הישראלי שורת מטרות המזוהות עם הג'יהאד האסלאמי הפלסטיני. במבצע נהרגו תייסיר אל-ג'עברי, מפקד מרחב צפון בזרוע הצבאית של הג'יהאד האסלאמי הפלסטיני, וח'אלד מנצור, מפקד מרחב הדרום בזרוע הצבאית של הג'יהאד האסלאמי הפלסטיני.",5.8.2022,7.8.2022
21,מבצע ענפי זית,"מבצע של צה""ל ומנגנוני ביטחון רבים, שבמהלכו נשלחה משלחת סיוע של פיקוד העורף, לסייע הומניטרית ולחלץ אזרחים מטורקיה וסוריה ממבנים שהתמוטטו, בשל רעידות אדמה שהתרחשו באזור.",6.2.2023,15.2.2023
22,מבצע מגן וחץ,"מבצע של צה""ל שבו הרג חיל האוויר הישראלי שישה מפקדים בכירים של הג'יהאד האסלאמי הפלסטיני.",9.5.2023,13.5.2023
23,מבצע בית וגן,"מבצע צבאי של צה""ל ושירות הביטחון הכללי במחנה הפליטים ג'נין נגד הג'יהאד האיסלאמי הפלסטיני וארגוני טרור אחרים.",3.7.2023,5.7.2023
24,מלחמת חרבות ברזל,מתקפת פתע נרחבת של טרור פלסטיני מרצועת עזה על ישראל.,7.10.2023,13.11.2023
